
socket set <socket.socket fd=3, family=AddressFamily.AF_UNIX, type=SocketKind.SOCK_STREAM, proto=0>
socket set <socket.socket fd=4, family=AddressFamily.AF_UNIX, type=SocketKind.SOCK_STREAM, proto=1>
socket set <socket.socket fd=3, family=AddressFamily.AF_UNIX, type=SocketKind.SOCK_DGRAM, proto=0>
socket set <socket.socket fd=4, family=AddressFamily.AF_UNIX, type=SocketKind.SOCK_DGRAM, proto=1>
socket set <socket.socket fd=3, family=AddressFamily.AF_UNIX, type=SocketKind.SOCK_RAW, proto=0>
socket set <socket.socket fd=4, family=AddressFamily.AF_UNIX, type=SocketKind.SOCK_RAW, proto=1>
socket set <socket.socket fd=3, family=AddressFamily.AF_UNIX, type=SocketKind.SOCK_SEQPACKET, proto=0>
socket set <socket.socket fd=4, family=AddressFamily.AF_UNIX, type=SocketKind.SOCK_SEQPACKET, proto=1>
socket set <socket.socket fd=3, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=(0.0.0.0, 0)>
socket set <socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=6, laddr=(0.0.0.0, 0)>
socket set <socket.socket fd=3, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=132, laddr=(0.0.0.0, 0)>
socket set <socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_DGRAM, proto=0, laddr=(0.0.0.0, 0)>
socket set <socket.socket fd=3, family=AddressFamily.AF_INET, type=SocketKind.SOCK_DGRAM, proto=17, laddr=(0.0.0.0, 0)>
socket set <socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_DGRAM, proto=115, laddr=(0.0.0.0, 0)>
socket set <socket.socket fd=3, family=AddressFamily.AF_INET, type=SocketKind.SOCK_DGRAM, proto=136, laddr=(0.0.0.0, 0)>
socket set <socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_SEQPACKET, proto=0, laddr=(0.0.0.0, 0)>
socket set <socket.socket fd=3, family=AddressFamily.AF_INET, type=SocketKind.SOCK_SEQPACKET, proto=132, laddr=(0.0.0.0, 0)>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=0>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=1>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=2>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=3>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=4>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=5>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=6>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=7>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=8>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=9>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=10>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=11>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=12>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=13>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=14>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=15>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=16>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=17>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=18>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=19>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=20>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=21>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=22>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=23>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=24>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=25>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=26>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=27>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=28>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=29>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=30>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=31>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=32>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=33>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=34>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=35>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=36>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=37>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=38>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=39>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=40>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=41>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=42>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=43>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=44>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=45>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=46>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=47>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=48>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=49>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=50>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=51>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=52>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=53>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=54>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=55>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=56>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=57>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=58>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=59>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=60>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=61>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=62>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=63>
